objectid;arrondissement;n_sq_evp;st_area(shape);st_perimeter(shape);geo_shape;geo_point_2d
2018;10;151;2678.3694586695897;303.74077256566926;"{""coordinates"": [[[2.3663339005781063, 48.873075196978704], [2.3664231627442014, 48.87314063304197], [2.36643512733121, 48.873133706726875], [2.366522989448111, 48.873198702719975], [2.366970940080981, 48.872935546109815], [2.36695281852588, 48.87292218236226], [2.367047041008038, 48.87286724372232], [2.3670643747468985, 48.87287991799609], [2.3675178418253577, 48.872614147109275], [2.367500999917753, 48.87260149887983], [2.3676132865021473, 48.872534693155316], [2.367782523247305, 48.87242850578946], [2.367664376667793, 48.872341635307876], [2.3676293072880252, 48.87236130020762], [2.367598580669385, 48.872336228940256], [2.3672814363832875, 48.87252039195537], [2.3672510700037814, 48.872496198460276], [2.366723665759219, 48.87280128833599], [2.366357416011975, 48.873017913214284], [2.3663928187550116, 48.87304410582887], [2.3663339005781063, 48.873075196978704]]], ""type"": ""Polygon""}";48.872767255569144, 2.3670256807480023
2062;14;795;377.0243811066251;123.58065615625733;"{""coordinates"": [[[2.3381259182394376, 48.83881526064586], [2.33785432893152, 48.838396265102226], [2.3378331793186424, 48.83836196127921], [2.3377503425787896, 48.838386255077836], [2.3380372921944725, 48.83884263351303], [2.338051085879087, 48.838837051029266], [2.3381259182394376, 48.83881526064586]]], ""type"": ""Polygon""}";48.838604513203016, 2.337938332354205
2239;16;353;510.8935422622018;124.38664413389209;"{""coordinates"": [[[2.274763224754076, 48.85614207300454], [2.274698504648224, 48.856131007135566], [2.2746567779512574, 48.85612360789961], [2.274615796760135, 48.8562003050531], [2.2745552058075784, 48.85629293956298], [2.274507442911175, 48.856344832602545], [2.274455428401174, 48.85639040073164], [2.2743795517863883, 48.856445439186906], [2.274291350228155, 48.85650358837521], [2.2743605196839414, 48.85656228990411], [2.2745524362730403, 48.85646415173964], [2.274696576574236, 48.85631044008321], [2.274763224754076, 48.85614207300454]]], ""type"": ""Polygon""}";48.85635192540546, 2.2745549570563988
583;17;100632;6920.577651809922;931.5551548057216;"{""coordinates"": [[[[2.32067980722504, 48.896723592566865], [2.320178655376774, 48.896063549592], [2.3202593191577576, 48.89602949148807], [2.3199761569570776, 48.89569416252319], [2.3198863086469244, 48.895677369161135], [2.319719740310243, 48.895882091794576], [2.3196106307054714, 48.89583945470667], [2.319666468671626, 48.89577379854975], [2.319654642677644, 48.8957688228643], [2.319708659969044, 48.895705645665075], [2.319721090952294, 48.89571035408619], [2.3197815895713023, 48.89563924747085], [2.3197722730128274, 48.895638467899346], [2.319737827026827, 48.89564122741001], [2.3192116383209993, 48.89550591275762], [2.318648487466575, 48.89533602864042], [2.3185574712963244, 48.89537446403148], [2.3185183770588935, 48.89575401471798], [2.318585304894863, 48.895759149377035], [2.3185932298277403, 48.895707435763484], [2.3190020545495855, 48.895726236855396], [2.3189688392236527, 48.89603321960163], [2.319029639241606, 48.89604095417487], [2.319020649169593, 48.89606255153767], [2.319081287586435, 48.89608692082633], [2.319157361414108, 48.89599932679413], [2.3196160349923103, 48.896172371303706], [2.3195432629903823, 48.896253457992024], [2.3195365657032974, 48.896260985034246], [2.3204322188019826, 48.8966012588132], [2.320355119426008, 48.89669541552474], [2.3206138091286945, 48.896796359991036], [2.32067980722504, 48.896723592566865]], [[2.3199262886129, 48.89615667143569], [2.319818495764855, 48.89611560774935], [2.3199918198353315, 48.89591038918388], [2.3201006148637937, 48.895950202959604], [2.3200378362069944, 48.896024826609], [2.320055900147948, 48.896031127300255], [2.3200071360941164, 48.896089253295955], [2.3199881560353033, 48.89608239341332], [2.3199262886129, 48.89615667143569]], [[2.319635185260206, 48.89604168989542], [2.319567240287878, 48.896120710408354], [2.3190832435503332, 48.895938413383284], [2.319150654699353, 48.895860513347586], [2.319635185260206, 48.89604168989542]], [[2.3193160885951642, 48.89571967020953], [2.3185943564853986, 48.8954481530785], [2.3186578716830883, 48.89537498943346], [2.318748629664844, 48.89540860623702], [2.318755205256873, 48.89540099850097], [2.318839933245325, 48.89543305657919], [2.3188334547185283, 48.895440647784625], [2.318977935240354, 48.89549384695341], [2.3189839787869686, 48.89548666245883], [2.31906894096899, 48.8955185643213], [2.3190619806242396, 48.89552628769711], [2.3192034186806496, 48.895579274134334], [2.319210332970393, 48.895571108022224], [2.3192948917276195, 48.895603216069794], [2.319287531536505, 48.89561147857737], [2.3193789808011758, 48.895645071840974], [2.3193160885951642, 48.89571967020953]]]], ""type"": ""MultiPolygon""}";48.895987896224234, 2.3196340555135047
991;16;101713;281.3195754698503;77.8917453516809;"{""coordinates"": [[[2.282461143372991, 48.87068923756541], [2.282458929728833, 48.87068287670693], [2.2824506587221993, 48.87067732042482], [2.2824074402846057, 48.87058955400265], [2.2822804739622584, 48.870617463921285], [2.2822444252385536, 48.87062538774578], [2.282230568862448, 48.870628433481706], [2.282263651021559, 48.870692835316646], [2.28218409809858, 48.87071141001997], [2.282236398068181, 48.87081425725501], [2.282244459998266, 48.87081173616578], [2.28225890931331, 48.87080721725696], [2.2822857924700437, 48.87079880858304], [2.28232170299545, 48.87078756532936], [2.2823576148685776, 48.87077632207291], [2.2824015695190907, 48.870762560289116], [2.2823728855814323, 48.870709212654994], [2.2824170144794276, 48.87069922556802], [2.282461143372991, 48.87068923756541]]], ""type"": ""Polygon""}";48.87069840146267, 2.2823193220674374
1206;15;101246;693.0732841465222;108.50708671489372;"{""coordinates"": [[[2.3025508354583213, 48.83639027054154], [2.302650894823173, 48.83667694602061], [2.3029394359441953, 48.836631598809305], [2.302803890067384, 48.83633491986833], [2.3025508354583213, 48.83639027054154]]], ""type"": ""Polygon""}";48.836510837107184, 2.3027385191349046
1348;14;101402;194.70983752569384;73.38273429569243;"{""coordinates"": [[[2.3242265520632825, 48.826474180793824], [2.3241692339810758, 48.826524534145136], [2.324227658618266, 48.826550646774635], [2.3242130861334016, 48.82656421878543], [2.3242569087097498, 48.82658380573972], [2.32425429634738, 48.8265863092369], [2.324350619776111, 48.8266297996763], [2.3243661551285038, 48.82661571414837], [2.324418911573125, 48.82663986639168], [2.324446083859261, 48.826615367039864], [2.3244360408207942, 48.82659875006014], [2.324431500839719, 48.82660021648171], [2.324429798141923, 48.826600637665095], [2.3244255423030267, 48.826601410472364], [2.3244238391663736, 48.8266015501479], [2.324421285586799, 48.826601620263894], [2.3244195838179973, 48.826601339038184], [2.324417880672582, 48.82660126915851], [2.3244153271248598, 48.82660070611249], [2.3244127740243696, 48.82659979321086], [2.324411071837321, 48.82659859821466], [2.3244093696532873, 48.82659719276395], [2.324407667472292, 48.82659557685883], [2.3244068161784393, 48.826593891112175], [2.3243583170491666, 48.82650831380929], [2.3243344927061624, 48.82646672057523], [2.324331089359897, 48.826461099120415], [2.324318280286522, 48.82644024571874], [2.324300695106714, 48.82644675139368], [2.3243204561925004, 48.82647005171146], [2.324268524725019, 48.826489252307475], [2.324248770348748, 48.82646596101314], [2.3242265520632825, 48.826474180793824]]], ""type"": ""Polygon""}";48.826547117425335, 2.3243068681439043
1461;20;101535;120.5914244171569;51.8578468717316;"{""coordinates"": [[[2.398735162677565, 48.863436913034455], [2.3986865659530245, 48.86340532502676], [2.3986862955446155, 48.86340761339146], [2.3985022694959834, 48.863528771528955], [2.398517779574983, 48.86353934029765], [2.398518050115995, 48.86353916628577], [2.39854570443636, 48.8635573820289], [2.398545376087475, 48.86355760431477], [2.398565003442827, 48.863570594110584], [2.398714926536687, 48.86347147378348], [2.398701041680492, 48.86346263994087], [2.3987359508288657, 48.86343984165245], [2.398735162677565, 48.863436913034455]]], ""type"": ""Polygon""}";48.86348981707729, 2.398622235965611
1802;18;630;64.50555575634436;32.24739323163818;"{""coordinates"": [[[2.3457454442392462, 48.88766333911147], [2.345650432581152, 48.887651038741744], [2.345628864378893, 48.88771912579093], [2.3457430743677623, 48.887732886364994], [2.345749888258348, 48.88770548604675], [2.345762329113553, 48.88766537391641], [2.3457454442392462, 48.88766333911147]]], ""type"": ""Polygon""}";48.88769218560369, 2.345695769373279
2134;13;1760;2746.3671371685264;311.01016333118235;"{""coordinates"": [[[2.363230176720919, 48.8289409550157], [2.363221666954792, 48.82894664770247], [2.363490719526881, 48.829030961614], [2.3635928061153018, 48.82890152579744], [2.3637758203710395, 48.82887893058395], [2.3639767473191684, 48.82892110602305], [2.364462497298325, 48.82831025415508], [2.3642912931798516, 48.8281329700077], [2.3637885155264886, 48.828741014592524], [2.3634607101334315, 48.828628543151346], [2.363230176720919, 48.8289409550157]]], ""type"": ""Polygon""}";48.82865375098571, 2.363888372862157
